CODE,DESCRIPTION,FUNCTIONAL GROUP,KEYBOARD SHORTCUT CODE
ACAN,Acanthastrea,HC,
BL_ACR,Acropora Bleached,BL_HC,
ACB,Acropora branching,HC,
ACC,Acropora corymbose,HC,
ACD,Acropora digitate,HC,
ACH,Acropora hispidose,HC,
ACT,Acropora plate,HC,
ACR,Acropora robusta group,HC,
BIO_AA,Algal assemblages,BIO,
AST,Astreopora,HC,
AF,Attached fungiids,HC,
CAU,Caulastrea,HC,
COE,Coeloseris,HC,
AB_RB,Coral rubble,AB,
CA_CCA,Coralline Algae,BIO,
COS,Coscinaraea,HC,
CM,Cyanobacterial Mats,BIO,
CYP,Cyphastrea,HC,
AB_DC,Dead Coral,AB,
AB_DCA,Dead coral with algae,AB,
DIP,Diploastrea heliopora,HC,
ECHY,Echinophyllia,HC,
ECHI,Echinopora,HC,
EUP,Euphyllia,HC,
FAV,Favia,HC,
FVI,Favites,HC,
CMR,Fungia,HC,
GAL,Galaxea,HC,
GONIA,Goniastrea,HC,
GONIO,Goniopora,HC,
BIO_HA,Halimeda,BIO,
HEL,Heliopora,HC,
HYD,Hydnophora,HC,
ISO,Isopora,HC,
LEPA,Leptoria,HC,
LEPS,Leptoseris,HC,
LOB,Lobophyllia,HC,
MA,Macroalgae,BIO,
MER,Merulina,HC,
MILL,Millepora,HC,
MON,Montastrea,HC,
MONTB,Montipora branching,HC,
MONTE,Montipora encrusting,HC,
MONTF,Montipora foliose,HC,
MYC,Mycedium,HC,
CB,Other branching corals,HC,
BUB,Other bubble corals,HC,
CE,Other encrusting corals,HC,
CF,Other foliose corals,HC,
FOT,Other free living fungiids,HC,
BL_HC,Other Hard Coral Bleached,BL_HC,
MI,Other Invertebrates,BIO,
CM,Other massive corals,HC,
OT,Others,OT,
OULA,Oulastrea,HC,
OULO,Oulophyllia,HC,
OXY,Oxypora,HC,
PACE,Pachyseris encrusting,HC,
PACF,Pachyseris foliose,HC,
PAV,Pavona,HC,
PEC,Pectinia,HC,
PLAT,Platygyra,HC,
POC,Pocillopora,HC,
BL_POC,Pocillopora Bleached,BL_HC,
BL_POR,Porites Bleached,BL_HC,
PORB,Porites branching,HC,
PORE,Porites encrusting,HC,
PORM,Porites massive,HC,
AB_RCK,Rock,AB,
AB_S,Sand,AB,
SER,Seriatopora,HC,
AB_SI,Silt,AB,
SC,Soft Corals,BIO,
SP,Sponge,BIO,
STY,Stylophora,HC,
SYM,Symphyllia,HC,
TUBI,Tubipora musica,HC,
TURB,Turbinaria,HC,
TA,Turf Algae,BIO,
UN,Unknown/Unidentifiable,UN,
BIO_ZO,Zoanthids,BIO,
